season,player_id,name,position,team,games,points,ppg,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,rushing_first_downs,targets,receptions,receiving_yards,receiving_tds,receiving_first_downs
2023,00-0039064,Zay Flowers,WR,BAL,16,188.7,11.79,0,0,0,0,0,8,56,1,1,108,77,858,5,41
2023,00-0039065,Sam LaPorta,TE,DET,17,216.9,12.76,0,0,0,0,0,1,4,0,0,120,86,889,10,48
2023,00-0039066,Michael Mayer,TE,LV,13,68.15,5.24,0,0,0,0,0,0,0,0,0,40,27,304,2,19
2023,00-0039067,Rashee Rice,WR,KC,16,187.6,11.72,0,0,0,0,0,1,-3,0,0,102,79,938,7,44
2023,00-0039074,Davis Allen,TE,LA,7,22.25,3.18,0,0,0,0,0,0,0,0,0,11,10,95,1,7
2023,00-0039075,Puka Nacua,WR,LA,17,271.95,16.0,0,0,0,0,0,12,89,0,5,160,105,1486,6,68
2023,00-0039136,Zach Evans,RB,LA,4,2.8,0.7,0,0,0,0,0,9,19,0,0,0,0,0,0,0
2023,00-0039139,Jahmyr Gibbs,RB,DET,15,256.8,17.12,0,0,0,0,0,182,945,10,42,71,52,316,1,20
2023,00-0039144,Luke Musgrave,TE,GB,11,66.2,6.02,0,0,0,0,0,0,0,0,0,46,34,352,1,14
2023,00-0039146,Jayden Reed,WR,GB,16,202.3,12.64,0,0,0,0,0,11,119,2,6,94,64,793,8,32
2023,00-0039150,Bryce Young,QB,CAR,16,86.28,5.39,527,315,2877,11,10,39,253,0,18,0,0,0,0,0
2023,00-0039152,Will Levis,QB,TEN,9,74.17,8.24,255,149,1808,8,4,25,57,1,7,0,0,0,0,0
2023,00-0039163,C.J. Stroud,QB,HOU,15,257.07,17.14,499,319,4108,23,5,39,167,3,17,1,1,0,0,0
2023,00-0039164,Anthony Richardson,QB,IND,4,72.18,18.05,84,50,577,3,1,25,136,4,8,0,0,0,0,0
2023,00-0039165,Zach Charbonnet,RB,SEA,16,116.15,7.26,0,0,0,0,0,108,462,1,32,40,33,209,0,7
2024,00-0023459,Aaron Rodgers,QB,NYJ,17,228.83,13.46,584,368,3897,28,11,22,107,0,7,0,0,0,0,0
2024,00-0024243,Marcedes Lewis,TE,CHI,5,0.95,0.19,0,0,0,0,0,0,0,0,0,1,1,2,0,1
2024,00-0026158,Joe Flacco,QB,IND,7,86.64,12.38,248,162,1761,12,7,9,26,0,2,0,0,0,0,0
2024,00-0026300,Josh Johnson,QB,BAL,4,0.13,0.03,3,2,17,0,0,4,1,0,0,0,0,0,0,0
2024,00-0026498,Matthew Stafford,QB,LA,16,198.33,12.4,517,340,3762,20,8,30,41,0,10,0,0,0,0,0
2024,00-0027973,Andy Dalton,QB,CAR,6,54.16,9.03,160,106,989,7,6,11,34,0,2,0,0,0,0,0
2024,00-0028118,Tyrod Taylor,QB,NYJ,2,23.81,11.9,22,17,119,3,0,3,13,0,0,0,0,0,0,0
2024,00-0029263,Russell Wilson,QB,PIT,11,155.48,14.13,336,214,2482,16,5,43,155,2,16,0,0,0,0,0
2024,00-0029604,Kirk Cousins,QB,ATL,14,144.42,10.32,453,303,3508,18,16,23,0,0,2,0,0,0,0,0
2024,00-0030035,Adam Thielen,WR,CAR,10,128.0,12.8,0,0,0,0,0,0,0,0,0,62,48,615,5,28
2024,00-0030061,Zach Ertz,TE,WAS,17,159.4,9.38,0,0,0,0,0,0,0,0,0,91,66,654,7,38
2024,00-0030279,Keenan Allen,WR,CHI,15,164.4,10.96,1,0,0,0,1,0,0,0,0,121,70,744,7,43
2024,00-0030431,Robert Woods,WR,HOU,14,29.8,2.13,0,0,0,0,0,0,0,0,0,30,20,203,0,12
2024,00-0030506,Travis Kelce,TE,KC,16,161.25,10.08,0,0,0,0,0,1,1,0,0,133,97,823,3,47
2024,00-0030564,DeAndre Hopkins,WR,KC,16,131.25,8.2,0,0,0,0,0,0,0,0,0,80,56,610,5,35
2024,00-0030565,Geno Smith,QB,SEA,17,233.5,13.74,578,407,4320,21,15,53,272,2,17,0,0,0,0,0
2024,00-0030578,Cordarrelle Patterson,RB,PIT,13,36.7,2.82,0,0,0,0,0,32,135,0,7,14,12,80,1,5
2024,00-0031235,Odell Beckham Jr.,WR,MIA,8,10.75,1.34,0,0,0,0,0,0,0,0,0,19,9,55,0,3
2024,00-0031236,Brandin Cooks,WR,DAL,10,66.15,6.62,0,0,0,0,0,3,-3,0,0,54,26,259,3,19
2024,00-0031280,Derek Carr,QB,NO,10,161.5,16.15,279,189,2145,15,5,17,71,1,4,0,0,0,0,0
2024,00-0031299,Jordan Matthews,TE,CAR,2,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2024,00-0031345,Jimmy Garoppolo,QB,LA,1,18.26,18.26,41,27,334,2,1,2,5,0,0,0,0,0,0,0
2024,00-0031381,Davante Adams,WR,NYJ,14,219.55,15.68,0,0,0,0,0,0,0,0,0,141,85,1063,8,49
2024,00-0031408,Mike Evans,WR,TB,14,222.15,15.87,0,0,0,0,0,0,0,0,0,110,74,1004,11,53
2024,00-0031428,Allen Robinson,WR,DET,6,5.25,0.88,0,0,0,0,0,0,0,0,0,7,3,30,0,3
2024,00-0031484,Chris Manhertz,TE,NYG,8,11.0,1.38,0,0,0,0,0,0,0,0,0,4,3,30,1,2
2024,00-0031503,Jameis Winston,QB,CLE,11,111.74,10.16,296,181,2121,13,12,25,83,1,17,0,0,0,0,0
2024,00-0031544,Amari Cooper,WR,BUF,13,111.45,8.57,0,0,0,0,0,0,0,0,0,85,44,547,4,25
2024,00-0031549,Nelson Agholor,WR,BAL,13,47.1,3.62,0,0,0,0,0,0,0,0,0,29,14,231,2,10
2024,00-0031585,MyCole Pruitt,TE,PIT,7,13.5,1.93,0,0,0,0,0,0,0,0,0,10,6,40,1,2
2024,00-0031588,Stefon Diggs,WR,HOU,8,112.32,14.04,1,1,13,0,0,3,8,1,1,64,47,496,3,31
