player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
2354,Hunter Henry,TE,NE,161.0,12.07,21,107,198,29.2,11
4865,Chase McLaughlin,PK,TB,162.1,12.08,13,140,180,14.2,10
1330,Tennessee Defense,DEF,TEN,162.3,12.08,27,141,180,10.9,9
1303,Buffalo Defense,DEF,BUF,163.4,12.09,51,135,200,17.8,7
2514,Harrison Butker,PK,KC,164.3,12.10,24,140,205,18.4,5
5694,Kayshon Boutte,WR,NE,165.2,12.11,6,120,197,26.6,11
1334,Atlanta Defense,DEF,ATL,166.9,12.13,39,136,180,11.7,11
6188,Cam Little,PK,JAX,167.9,12.14,66,136,203,16.3,7
6803,Mike Washington Jr.,RB,LV,168.1,12.14,7,130,207,23.7,13
1332,Baltimore Defense,DEF,BAL,168.8,13.01,29,137,206,13.5,13
1314,Jacksonville Defense,DEF,JAX,168.8,13.01,6,159,181,8.3,7
2340,Chris Boswell,PK,PIT,169.3,13.01,10,159,179,7.2,9
5669,Evan McPherson,PK,CIN,169.4,13.01,19,146,207,14.1,6
1319,New Orleans Defense,DEF,NO,169.4,13.01,40,139,199,12.1,8
2522,Wil Lutz,PK,DEN,171.9,13.04,15,144,196,11.2,10
6585,Andy Borregales,PK,NE,172.4,13.04,5,143,197,19.3,11
5676,C.J. Stroud,QB,HOU,172.8,13.05,10,156,182,9.6,8
6457,Cam Ward,QB,TEN,179.9,13.12,9,146,210,22.9,9
1316,Miami Defense,DEF,MIA,188.6,14.07,7,169,209,14.1,6
1307,Cleveland Defense,DEF,CLE,189.1,14.07,9,172,209,13.9,11
