key,name,position,team,adp,raw_200,aav_200,market,source,status,out
cairo santos,Cairo Santos,PK,CHI,155.1,1.8406250000000002,3.6794792664210436,5,curve,,False
pittsburgh defense,Pittsburgh Defense,DEF,PIT,155.2,1.8375000000000004,3.672099089600058,5,curve,,False
malik willis,Malik Willis,QB,MIA,155.4,1.1,1.5537694468032148,2,yahoo,,False
nick folk,Nick Folk,PK,ATL,155.4,1.8312499999999998,3.6573172582499236,5,curve,,False
eddy piñeiro,Eddy Piñeiro,PK,SF,156.1,1.8093750000000002,3.605351729445512,5,curve,,False
cooper kupp,Cooper Kupp,WR,SEA,156.2,1.8062500000000004,3.5978985195357525,5,curve,,False
brenton strange,Brenton Strange,TE,JAX,156.5,1.796875,3.5754937504277478,5,curve,,False
malik washington,Malik Washington,WR,MIA,157.9,1.7531249999999998,3.470015623629505,4,curve,,False
travis hunter,Travis Hunter,WR,JAX,158.2,1.7437500000000004,3.4472086709303285,4,curve,,False
antonio williams,Antonio Williams,WR,WAS,158.4,1.7374999999999998,3.4319626041063906,4,curve,,False
adonai mitchell,Adonai Mitchell,WR,NYJ,158.8,1.7249999999999996,3.4013694339248834,4,curve,,False
tank bigsby,Tank Bigsby,RB,PHI,159.8,1.1,1.5537694468032148,2,yahoo,,False
chris rodriguez,Chris Rodriguez Jr.,RB,JAX,159.9,1.2,1.925249992419272,2,yahoo,,False
tyrone tracy,Tyrone Tracy Jr.,RB,NYG,160.2,1.2,1.925249992419272,2,yahoo,,False
omar cooper,Omar Cooper Jr.,WR,NYJ,160.3,1.6781249999999996,3.2853982041499665,4,curve,,False
hunter henry,Hunter Henry,TE,NE,161.0,1.65625,3.230570807419094,4,curve,,False
chase mclaughlin,Chase McLaughlin,PK,TB,162.1,1.6218750000000002,3.1434432015150495,4,curve,,False
tennessee defense,Tennessee Defense,DEF,TEN,162.3,1.6156249999999996,3.1274691136124724,4,curve,,False
buffalo defense,Buffalo Defense,DEF,BUF,163.4,1.5812499999999998,3.038843622984568,4,curve,,False
harrison butker,Harrison Butker,PK,KC,164.3,1.5531249999999996,2.9653166865679017,4,curve,,False
kayshon boutte,Kayshon Boutte,WR,NE,165.2,1.5250000000000004,2.8908128792889936,4,curve,,False
atlanta defense,Atlanta Defense,DEF,ATL,166.9,1.4718749999999998,2.7471765093180256,3,curve,,False
cam little,Cam Little,PK,JAX,167.9,1.4406249999999998,2.660731359933154,3,curve,,False
mike washington,Mike Washington Jr.,RB,LV,168.1,1.4343750000000002,2.643254139259129,3,curve,,False
baltimore defense,Baltimore Defense,DEF,BAL,168.8,1.4124999999999996,2.5815611023000473,3,curve,,False
jacksonville defense,Jacksonville Defense,DEF,JAX,168.8,1.4124999999999996,2.5815611023000473,3,curve,,False
chris boswell,Chris Boswell,PK,PIT,169.3,1.3968749999999996,2.536974512979776,3,curve,,False
evan mcpherson,Evan McPherson,PK,CIN,169.4,1.3937499999999998,2.5280029785694813,3,curve,,False
new orleans defense,New Orleans Defense,DEF,NO,169.4,1.3937499999999998,2.5280029785694813,3,curve,,False
wil lutz,Wil Lutz,PK,DEN,171.9,1.3156249999999998,2.297162071436362,3,curve,,False
andy borregales,Andy Borregales,PK,NE,172.4,1.2999999999999998,2.2492945308064662,3,curve,,False
cj stroud,C.J. Stroud,QB,HOU,172.8,1.1,1.5537694468032148,2,yahoo,,False
cam ward,Cam Ward,QB,TEN,179.9,1.3,2.2492945308064667,3,yahoo,,False
miami defense,Miami Defense,DEF,MIA,188.6,1.0,1.0,1,curve,,False
cleveland defense,Cleveland Defense,DEF,CLE,189.1,1.0,1.0,1,curve,,False
